ubigeo,total_atenciones,total_atendidos,n_ipress_emergencia
010101,56366,22057,6
010201,19636,13447,4
010307,2700,2595,1
010401,27084,14259,1
010601,4788,4788,2
010701,24580,19158,4
010704,371,371,1
020101,45928,45921,14
020102,0,0,3
020103,0,0,1
020104,0,0,2
020105,10132,8490,22
020106,0,0,2
020107,0,0,1
020108,0,0,4
020109,0,0,1
020110,0,0,3
020111,0,0,2
020112,0,0,4
020201,0,0,1
020202,0,0,3
020203,0,0,1
020204,0,0,2
020205,0,0,2
020401,907,907,2
020402,0,0,2
020501,714,714,2
020502,0,0,1
020503,0,0,1
020504,0,0,3
020505,0,0,3
020506,0,0,1
020507,22,22,1
020508,94,94,1
020509,0,0,2
020510,0,0,2
020511,0,0,1
020512,0,0,1
020513,0,0,2
020514,0,0,1
020515,0,0,1
020601,13102,7657,8
020602,0,0,1
020603,0,0,2
020604,0,0,1
020605,0,0,1
020606,0,0,5
020607,0,0,1
020608,0,0,1
020609,0,0,1
020610,0,0,1
020611,0,0,4
020702,8525,420,3
020801,30711,23921,6
020802,0,0,3
020803,0,0,2
020804,0,0,2
020901,0,0,1
020902,0,0,1
020903,0,0,1
020904,0,0,4
020905,0,0,1
020906,0,0,1
020907,0,0,1
021001,6175,3693,2
021004,101,101,4
021014,0,0,2
021101,20715,11062,5
021102,0,0,1
021103,0,0,3
021104,0,0,1
021105,0,0,2
021201,10709,9813,9
021202,0,0,3
021203,0,0,2
021204,0,0,1
021205,0,0,2
021206,0,0,8
021207,0,0,6
021208,0,0,3
021209,0,0,2
021210,0,0,3
021301,7221,2532,2
021302,0,0,1
021303,6,6,2
021304,78,78,2
021305,51,51,1
021306,0,0,5
021307,0,0,3
021308,56,53,1
021401,0,0,1
021402,0,0,1
021403,0,0,1
021404,0,0,1
021405,0,0,1
021406,0,0,1
021407,0,0,1
021408,0,0,1
021409,0,0,1
021410,0,0,1
021501,180,97,2
021503,1671,692,2
021508,65,38,2
021509,97,56,2
021601,4248,4088,7
021602,0,0,3
021603,62813,62813,6
021604,56067,56054,2
021701,7676,2989,2
021702,0,0,1
021703,0,0,1
021704,0,0,1
021705,0,0,2
021706,0,0,1
021707,0,0,2
021708,0,0,1
021709,0,0,1
021710,0,0,2
021801,368153,197552,18
021802,0,0,3
021803,31505,15097,2
021805,0,0,3
021806,3692,1879,3
021807,0,0,3
021808,0,0,2
021809,143769,101274,10
021901,3063,2263,3
021902,5193,897,1
021903,2503,407,1
021904,0,0,2
021905,3948,1111,2
021906,0,0,3
021907,24446,2772,2
021908,0,0,2
021909,0,0,4
021910,0,0,2
022001,9725,9271,7
022002,0,0,1
022003,0,0,5
022004,0,0,1
022005,0,0,4
022006,0,0,2
022007,0,0,4
022008,0,0,6
030101,124686,49235,4
030104,5516,4340,1
030201,68946,32928,5
030401,54818,18603,5
030402,11536,4175,3
030403,10903,3868,2
030404,51997,17789,5
030405,5926,2089,1
030406,45486,16100,9
030407,6261,2284,2
030408,7297,2628,2
030409,26667,9388,5
030410,16289,5960,5
030411,8451,2921,1
030412,11292,4056,3
030413,10704,3781,2
030414,28225,9849,4
030415,23194,7997,3
030416,17043,6089,4
030417,21532,7490,3
030501,37053,7243,1
030601,2732,2454,2
030602,2660,310,1
030702,0,0,2
030706,0,0,1
030708,0,0,1
030709,0,0,1
030710,5,5,1
030712,217,211,1
030714,0,0,2
040101,635720,296256,19
040102,0,0,6
040103,46660,37971,10
040104,29891,22014,13
040105,0,0,1
040106,0,0,2
040107,17552,11526,9
040108,28,28,12
040109,6441,6003,7
040110,1886,1441,6
040111,0,0,2
040112,184157,143117,18
040113,0,0,2
040114,0,0,1
040115,0,0,1
040116,0,0,1
040117,0,0,2
040118,0,0,1
040119,0,0,2
040120,0,0,3
040121,0,0,1
040122,3248,1567,9
040123,0,0,1
040124,0,0,3
040125,0,0,2
040126,1059418,273684,10
040127,0,0,1
040128,0,0,3
040129,0,0,7
040201,16961,9418,2
040202,0,0,3
040203,0,0,1
040204,0,0,2
040205,0,0,3
040206,0,0,3
040207,0,0,1
040208,51186,17411,6
040302,603,513,2
040305,62,53,1
040307,2,2,1
040310,28,24,1
040311,7,7,1
040313,23,22,1
040401,4961,4092,8
040402,0,0,2
040403,0,0,1
040404,0,0,2
040405,0,0,2
040406,0,0,1
040407,0,0,1
040408,0,0,1
040409,0,0,1
040410,50,20,3
040411,0,0,2
040412,0,0,1
040413,0,0,5
040414,0,0,2
040501,3166,1749,4
040502,0,0,1
040503,0,0,2
040504,0,0,2
040505,0,0,2
040506,0,0,1
040507,0,0,1
040508,0,0,1
040509,0,0,1
040510,0,0,1
040511,0,0,3
040512,0,0,1
040513,0,0,1
040514,0,0,2
040515,0,0,1
040516,0,0,1
040517,0,0,3
040518,0,0,1
040519,0,0,1
040520,30536,16999,7
040601,794,590,1
040602,0,0,1
040603,0,0,2
040604,0,0,3
040605,0,0,1
040607,0,0,2
040608,0,0,2
040701,84260,39782,4
040702,898,285,6
040703,403,224,3
040704,650,248,2
040705,0,0,1
040706,425,226,1
040801,705,687,1
040802,0,0,1
040803,0,0,2
040804,0,0,3
040805,0,0,3
040806,0,0,2
040807,0,0,1
040808,0,0,1
040809,0,0,1
040810,0,0,1
040811,0,0,2
050101,32011,22320,8
050102,21,21,5
050104,932,898,5
050105,0,0,5
050107,0,0,3
050109,0,0,3
050110,181335,51889,7
050111,0,0,4
050112,0,0,5
050113,0,0,4
050114,8,8,11
050115,2222,1871,3
050116,26954,18275,5
050201,2194,2095,6
050202,30,30,6
050203,100,98,5
050204,36,36,2
050205,0,0,6
050206,0,0,3
050301,284,275,1
050302,0,0,4
050303,0,0,2
050304,0,0,5
050401,5647,347,2
050407,2001,937,1
050501,147552,146868,1
050503,20876,8701,1
050509,7103,5430,4
050513,2480,2156,1
050601,7195,5215,2
050701,3819,2856,2
050801,369,351,1
050901,530,508,3
050902,0,0,1
050903,0,0,1
050904,0,0,1
050905,0,0,1
050906,0,0,3
050907,0,0,2
050908,0,0,1
050909,0,0,3
050910,0,0,3
050911,40,40,1
051001,440,425,1
051002,0,0,3
051003,0,0,1
051004,0,0,3
051005,30,30,4
051006,0,0,1
051007,0,0,2
051008,0,0,3
051009,0,0,3
051010,18,18,2
051011,0,0,4
051012,0,0,4
051101,264,100,5
051102,0,0,3
051103,0,0,1
051104,0,0,2
051105,0,0,2
051106,0,0,2
051107,0,0,1
051108,0,0,7
060101,94870,90089,36
060102,125,108,3
060103,58,58,1
060104,70,56,3
060105,0,0,11
060106,124,122,5
060107,1,1,2
060108,5907,5796,9
060109,89,86,5
060110,0,0,1
060111,0,0,6
060112,40,39,1
060201,7056,6675,3
060301,8554,7922,2
060302,0,0,2
060303,0,0,6
060305,0,0,1
060306,0,0,2
060307,0,0,5
060308,11,9,4
060310,44,35,4
060312,6,6,3
060401,21251,15754,3
060402,21675,13933,5
060410,66450,36609,15
060417,70551,43831,10
060501,960,905,6
060502,2818,1282,2
060503,0,0,2
060504,0,0,2
060505,0,0,3
060506,0,0,1
060507,1,1,1
060508,1256,784,5
060601,10981,10281,58
060602,0,0,18
060603,0,0,4
060604,0,0,4
060605,0,0,8
060606,0,0,8
060607,107,100,23
060608,0,0,5
060609,0,0,4
060610,0,0,5
060611,0,0,7
060612,0,0,12
060613,0,0,12
060614,0,0,17
060615,0,0,2
060701,7686,4561,43
060702,7,7,4
060703,0,0,13
060801,43509,41631,37
060802,3222,3117,10
060803,220,220,4
060804,265,264,8
060805,54,54,9
060806,54,54,2
060807,226,194,7
060808,2257,2025,1
060809,265,265,8
060810,50,48,2
060811,423,259,8
060812,673,673,6
060901,30585,13254,18
060902,0,0,8
060903,0,0,13
060904,0,0,17
060905,0,0,7
060906,0,0,15
060907,332,332,9
061001,4162,3051,6
061002,1,1,3
061003,0,0,1
061004,10,10,5
061005,91,48,1
061006,28,28,1
061007,617,429,6
061101,316,247,8
061102,0,0,2
061103,0,0,3
061104,0,0,2
061105,0,0,5
061106,0,0,1
061107,0,0,7
061108,0,0,2
061109,0,0,4
061110,0,0,3
061111,0,0,6
061112,0,0,4
061113,0,0,2
061201,647,623,6
061202,0,0,3
061203,0,0,2
061204,0,0,3
070101,479053,297295,41
070102,315295,262694,12
070103,77085,70233,4
070104,0,0,4
070105,0,0,1
070106,78110,69570,17
070107,9667,8818,2
080101,51013,48802,6
080104,68,68,4
080105,6411,5532,6
080106,23322,21506,5
080107,0,0,1
080108,223446,172664,6
080201,0,0,1
080202,0,0,1
080203,0,0,1
080204,0,0,1
080205,0,0,3
080206,0,0,1
080207,0,0,2
080408,0,0,1
080501,0,0,3
080502,0,0,2
080503,0,0,1
080504,0,0,2
080505,0,0,1
080506,0,0,1
080507,0,0,3
080508,0,0,4
080601,28156,18506,11
080602,0,0,1
080603,0,0,2
080604,0,0,4
080605,0,0,2
080606,0,0,2
080607,0,0,1
080608,0,0,1
080701,4157,4077,12
080702,0,0,3
080703,0,0,7
080704,0,0,5
080705,0,0,9
080706,0,0,5
080707,0,0,4
080708,0,0,5
080801,9907,4228,5
080802,0,0,1
080803,0,0,3
080804,0,0,1
080805,0,0,1
080806,0,0,2
080807,0,0,1
080808,0,0,1
080901,59628,34675,10
080902,0,0,19
080903,0,0,5
080904,0,0,3
080905,0,0,2
080906,0,0,7
080907,6471,4886,5
080908,0,0,3
080909,0,0,8
080910,5231,5152,11
080911,0,0,5
080912,0,0,2
080913,0,0,2
080914,0,0,16
080916,0,0,1
080917,0,0,3
080918,0,0,2
081001,0,0,1
