ubigeo,n_ipress,n_camas,n_con_internamiento,n_ipress_hospitalaria
010101,36,141,4,3
010102,1,0,0,0
010103,3,0,0,0
010104,1,0,0,0
010105,4,0,0,0
010106,6,0,0,0
010107,1,0,0,0
010108,2,0,0,0
010109,9,0,0,0
010110,3,0,0,0
010111,1,0,0,0
010112,1,0,0,0
010113,2,0,0,0
010114,4,0,0,0
010115,1,0,0,0
010116,2,0,0,0
010117,2,0,0,0
010118,1,0,0,0
010119,1,0,0,0
010120,4,0,0,0
010121,2,0,0,0
010201,18,103,2,2
010202,19,0,0,0
010203,6,0,0,0
010204,3,0,0,0
010205,41,0,0,0
010206,6,0,0,0
010301,2,0,0,0
010302,1,0,0,0
010303,1,0,0,0
010304,1,0,0,0
010305,2,0,0,0
010306,5,12,1,1
010307,8,12,1,1
010308,1,0,0,0
010309,1,0,0,0
010310,3,0,0,0
010311,4,0,0,0
010312,8,0,0,0
010401,30,12,1,1
010402,21,3,1,1
010403,26,0,0,0
010501,3,0,0,0
010502,5,0,0,0
010503,7,0,0,0
010504,4,0,0,0
010505,3,0,0,0
010506,1,0,0,0
010507,2,0,0,0
010508,3,0,0,0
010509,5,0,0,0
010510,1,0,0,0
010511,1,0,0,0
010512,5,8,1,1
010513,5,0,0,0
010514,10,0,0,0
010515,3,0,0,0
010516,1,0,0,0
010517,1,0,0,0
010518,1,0,0,0
010519,2,0,0,0
010520,4,0,0,0
010521,6,0,0,0
010522,2,0,0,0
010523,2,0,0,0
010601,5,18,1,1
010602,6,0,0,0
010603,1,0,0,0
010604,3,0,0,0
010605,2,0,0,0
010606,2,0,0,0
010607,2,0,0,0
010608,2,0,0,0
010609,15,0,0,0
010610,1,0,0,0
010611,1,0,0,0
010612,2,0,0,0
010701,38,59,4,3
010702,32,0,0,0
010703,10,0,0,0
010704,8,0,0,0
010705,11,0,0,0
010706,11,0,0,0
010707,6,0,0,0
020101,64,130,4,4
020102,3,0,0,0
020103,1,0,0,0
020104,2,0,0,0
020105,35,45,4,3
020106,3,0,0,0
020107,1,0,0,0
020108,4,0,0,0
020109,1,0,0,0
020110,3,0,1,1
020111,2,0,0,0
020112,4,0,0,0
020201,1,0,0,0
020202,3,0,0,0
020203,1,0,0,0
020204,2,0,0,0
020205,2,0,0,0
020301,1,6,0,0
020302,3,0,0,0
020303,1,0,0,0
020304,1,0,0,0
020305,4,0,0,0
020306,2,0,0,0
020401,1,0,1,1
020402,2,0,0,0
020501,2,0,1,1
020502,1,0,0,0
020503,1,0,0,0
020504,3,0,0,0
020505,3,0,0,0
020506,1,0,0,0
020507,1,0,0,0
020508,2,0,0,0
020509,2,0,0,0
020510,2,0,0,0
020511,1,0,0,0
020512,1,0,0,0
020513,2,0,0,0
020514,1,0,0,0
020515,1,0,0,0
020601,8,0,2,1
020602,1,0,0,0
020603,2,0,0,0
020604,1,0,0,0
020605,1,0,0,0
020606,5,0,0,0
020607,1,0,0,0
020608,1,0,0,0
020609,1,0,0,0
020610,1,0,0,0
020611,4,0,0,0
020701,5,10,0,0
020702,3,4,1,1
020703,5,4,0,0
020801,7,31,1,1
020802,3,0,0,0
020803,2,0,0,0
020804,2,0,1,1
020901,1,0,0,0
020902,1,0,0,0
020903,1,0,0,0
020904,4,0,0,0
020905,1,0,0,0
020906,1,0,0,0
020907,1,0,0,0
021001,6,22,1,1
021002,1,0,0,0
021003,2,0,0,0
021004,4,8,0,0
021005,1,0,0,0
021006,2,3,0,0
021007,2,0,0,0
021008,2,0,0,0
021009,2,0,0,0
021010,2,4,0,0
021011,3,0,0,0
021012,2,0,0,0
021013,1,0,0,0
021014,9,0,0,0
021015,3,0,0,0
021016,1,12,0,0
021101,8,0,1,1
021102,1,0,0,0
021103,3,0,0,0
021104,1,0,0,0
021105,2,0,0,0
021201,8,34,1,1
021202,3,0,0,0
021203,2,0,0,0
021204,1,0,0,0
021205,2,0,0,0
021206,8,0,0,0
021207,6,0,0,0
021208,3,0,0,0
021209,2,0,0,0
021210,3,0,0,0
021301,3,0,1,1
021302,1,0,0,0
021303,2,0,0,0
