ubigeo,distrito,provincia,departamento,n_ipress,n_ipress_hospitalaria,n_camas,total_atendidos,mean_dist_km,pct_beyond_25km,eai_baseline,quintil_baseline,eai_alternative,quintil_alternative,rank_change
040706,PUNTA DE BOMBON,ISLAY,AREQUIPA,1,0,0,226,11.4324703176219,0.2777777777777778,0.2756061582552391,Q2 (Low),0.4118507247208232,Q4 (High),-736
200801,SECHURA,SECHURA,PIURA,20,2,0,290,13.767218454291745,0.28125,0.27378656311750726,Q2 (Low),0.3645965511993375,Q4 (High),-591
220710,TRES UNIDOS,PICOTA,SAN MARTIN,1,0,0,437,12.989454172716163,0.0,0.3189452590349554,Q3 (Medium),0.2952939785584805,Q2 (Low),569
151018,LARAOS,YAUYOS,LIMA,1,0,0,206,13.378298495923064,0.0,0.31318396625744344,Q3 (Medium),0.2952771767946123,Q2 (Low),513
021016,UCO,HUARI,ANCASH,1,0,12,0,2.417688040379493,0.0,0.32161017263137043,Q3 (Medium),0.30737903736257177,Q2 (Low),478
040513,MADRIGAL,CAYLLOMA,AREQUIPA,1,0,0,0,7.697920740902915,0.0,0.270060365755194,Q2 (Low),0.19970016565371973,Q1 (Very low),433
150801,HUACHO,HUAURA,LIMA,79,3,279,123131,12.227719165941883,0.0,0.45745279417131435,Q5 (Very high),0.38887298684881183,Q4 (High),414
120801,LA OROYA,YAULI,JUNIN,8,1,0,0,7.659632787186861,0.0,0.2905894672194623,Q3 (Medium),0.2771481824208086,Q1 (Very low),404
250103,IPARIA,CORONEL PORTILLO,UCAYALI,17,0,0,101,10.65355726032448,0.13095238095238096,0.2960723587218261,Q3 (Medium),0.36988803685147265,Q4 (High),-388
040307,CHALA,CARAVELI,AREQUIPA,3,0,0,2,6.699966583189112,0.0,0.3058955800415518,Q3 (Medium),0.30040859576656276,Q2 (Low),385
040313,YAUCA,CARAVELI,AREQUIPA,1,0,0,22,6.906008904893227,0.0,0.32142681174318677,Q3 (Medium),0.31705060115049577,Q2 (Low),384
110207,PUEBLO NUEVO,CHINCHA,ICA,11,1,8,31,6.396992393105277,0.0,0.39717710060464073,Q5 (Very high),0.36242241051222446,Q4 (High),383
090605,LARAMARCA,HUAYTARA,HUANCAVELICA,2,0,0,0,7.413552725820962,0.0,0.27577278501252284,Q2 (Low),0.23980451539050351,Q1 (Very low),381
210402,DESAGUADERO,CHUCUITO,PUNO,4,0,11,4428,24.46483658866712,0.45871559633027525,0.2886928285036694,Q3 (Medium),0.27832371099513176,Q2 (Low),373
120128,QUILCAS,HUANCAYO,JUNIN,2,0,0,0,7.170456315201649,0.0,0.27896929926985864,Q2 (Low),0.2561361908465309,Q1 (Very low),369
110104,OCUCAJE,ICA,ICA,4,0,0,0,5.978321425377268,0.13513513513513514,0.2528873986407262,Q2 (Low),0.319221552327525,Q2 (Low),-366
090403,AURAHUA,CASTROVIRREYNA,HUANCAVELICA,2,0,0,0,9.186713935441126,0.0,0.26278897334002527,Q2 (Low),0.19844248569292852,Q1 (Very low),355
040803,CHARCANA,LA UNION,AREQUIPA,2,0,0,0,13.738916741144472,0.0,0.25389246241742636,Q2 (Low),0.13299631633022713,Q1 (Very low),353
051011,SARHUA,VICTOR FAJARDO,AYACUCHO,4,0,0,0,6.395252899151212,0.0,0.28141368727765115,Q2 (Low),0.2656526241314444,Q1 (Very low),352
120403,APATA,JAUJA,JUNIN,5,0,0,0,6.015685069780228,0.0,0.28486386802004304,Q2 (Low),0.2754029232598936,Q1 (Very low),350
230301,LOCUMBA,JORGE BASADRE,TACNA,4,0,0,0,8.169267349294106,0.0,0.2658957850969005,Q2 (Low),0.2206059496196521,Q1 (Very low),342
050205,PARAS,CANGALLO,AYACUCHO,6,0,0,0,6.496314702397776,0.0,0.27798083898095793,Q2 (Low),0.26078723323013275,Q1 (Very low),341
230303,ITE,JORGE BASADRE,TACNA,3,0,0,0,8.94588106667403,0.0,0.26098870716345784,Q2 (Low),0.20018436350151314,Q1 (Very low),335
040311,LOMAS,CARAVELI,AREQUIPA,1,0,0,7,11.144475060566375,0.0,0.29284958747454143,Q3 (Medium),0.2916109809997872,Q2 (Low),333
040804,HUAYNACOTAS,LA UNION,AREQUIPA,3,0,0,0,7.855616165658433,0.0,0.26529215898712805,Q2 (Low),0.22308669084743007,Q1 (Very low),329
150126,PUNTA HERMOSA,LIMA,LIMA,2,0,0,0,4.171272260487339,0.0,0.30131400643682904,Q3 (Medium),0.29997196409028704,Q2 (Low),329
021405,COCHAS,OCROS,ANCASH,1,0,0,0,8.511608285963637,0.0,0.26111201601324296,Q2 (Low),0.20461911834419869,Q1 (Very low),323
090118,ASCENSION,HUANCAVELICA,HUANCAVELICA,5,2,37,13064,11.122946175789423,0.0,0.40075727207732836,Q5 (Very high),0.3738873395907127,Q4 (High),321
090405,CHUPAMARCA,CASTROVIRREYNA,HUANCAVELICA,2,0,0,0,6.804590001757028,0.0,0.27366420645886663,Q2 (Low),0.25299429072380986,Q1 (Very low),320
050304,SANTIAGO DE LUCANAMARCA,HUANCA SANCOS,AYACUCHO,4,0,0,0,10.898206417329018,0.0,0.2567568315743234,Q2 (Low),0.18664934696758706,Q1 (Very low),320
120426,POMACANCHA,JAUJA,JUNIN,3,0,0,0,5.6022367948432015,0.0,0.2862935647865055,Q2 (Low),0.2842962777047409,Q2 (Low),319
090616,TAMBO,HUAYTARA,HUANCAVELICA,1,0,0,0,10.202690838233611,0.0,0.25703183532870044,Q2 (Low),0.18808486245222716,Q1 (Very low),319
040402,ANDAGUA,CASTILLA,AREQUIPA,2,0,0,0,7.0952704882598105,0.0,0.27052373274417124,Q2 (Low),0.24494497910500637,Q1 (Very low),314
170301,INAPARI,TAHUAMANU,MADRE DE DIOS,4,0,0,0,6.4916019927605175,0.14285714285714285,0.19443094227385443,Q1 (Very low),0.2747897977097523,Q1 (Very low),-314
240106,SAN JUAN DE LA VIRGEN,TUMBES,TUMBES,4,0,0,0,3.866051200553746,0.0,0.3139115169871162,Q3 (Medium),0.3170198102878342,Q2 (Low),313
050908,SAN PEDRO DE LARCAY,SUCRE,AYACUCHO,1,0,0,0,8.328921649991553,0.0,0.26306108183879906,Q2 (Low),0.21781418415279424,Q1 (Very low),312
040515,SIBAYO,CAYLLOMA,AREQUIPA,1,0,0,0,8.522297659731047,0.0,0.26267553746409406,Q2 (Low),0.2155238179161496,Q1 (Very low),311
120810,YAULI,YAULI,JUNIN,5,0,0,0,6.967737275254923,0.0,0.27972037021009066,Q2 (Low),0.26999579418962383,Q1 (Very low),311
211103,CABANILLAS,SAN ROMAN,PUNO,4,0,0,0,8.85563821778058,0.0,0.26067944502231416,Q2 (Low),0.20810877624170418,Q1 (Very low),310
210802,ANTAUTA,MELGAR,PUNO,3,0,0,0,8.139971267089999,0.0,0.26583122543665527,Q2 (Low),0.230488604555748,Q1 (Very low),309
021703,COTAPARACO,RECUAY,ANCASH,1,0,0,0,6.468131712540681,0.0,0.2758181769399667,Q2 (Low),0.26314184689719466,Q1 (Very low),309
040302,ACARI,CARAVELI,AREQUIPA,2,0,0,513,12.617323263361852,0.0,0.31939441846434646,Q3 (Medium),0.3213621082064212,Q3 (Medium),308
