ubigeo,distrito,provincia,departamento,n_ipress,n_ipress_hospitalaria,n_camas,total_atendidos,mean_dist_km,pct_beyond_25km,eai_baseline,quintil_baseline,eai_alternative,quintil_alternative,rank_change
150113,JESUS MARIA,LIMA,LIMA,275,16,2559,310331,0.7525951889284053,0.0,0.9700409158569909,Q5 (Very high),0.9668362576099809,Q5 (Very high),0
070102,BELLAVISTA,CALLAO,CALLAO,118,8,1380,262694,0.15175132678692077,0.0,0.9345183508328931,Q5 (Very high),0.9369723916364968,Q5 (Very high),2
040126,YANAHUARA,AREQUIPA,AREQUIPA,123,8,161,273684,0.3031588904704749,0.0,0.9107705526586863,Q5 (Very high),0.9331364020924182,Q5 (Very high),4
150121,PUEBLO LIBRE,LIMA,LIMA,135,10,193,138878,0.2229230877962696,0.0,0.9076110745731046,Q5 (Very high),0.9424036220194746,Q5 (Very high),-1
150122,MIRAFLORES,LIMA,LIMA,305,17,438,357234,0.5220617107969155,0.0,0.9009928905982283,Q5 (Very high),0.9352772218999836,Q5 (Very high),1
150120,MAGDALENA DEL MAR,LIMA,LIMA,131,4,590,5483,0.4388375641663168,0.0,0.9004852758330492,Q5 (Very high),0.8921270555943854,Q5 (Very high),6
040101,AREQUIPA,AREQUIPA,AREQUIPA,365,15,1320,296256,0.6541433504722787,0.0,0.8983969133697228,Q5 (Very high),0.900741837651526,Q5 (Very high),3
150141,SURQUILLO,LIMA,LIMA,128,7,426,18054,0.6695376458537512,0.0,0.8877902935684345,Q5 (Very high),0.8986691435436993,Q5 (Very high),3
150130,SAN BORJA,LIMA,LIMA,219,22,320,158622,0.5629300583696701,0.0,0.8863504382273972,Q5 (Very high),0.9355807138208712,Q5 (Very high),-4
080108,WANCHAQ,CUSCO,CUSCO,147,7,274,172664,0.7049829400180162,0.0,0.8756491995667355,Q5 (Very high),0.9078047831037436,Q5 (Very high),-1
150105,BRENA,LIMA,LIMA,147,1,364,56755,0.32804441518924005,0.0,0.861605985403482,Q5 (Very high),0.8635076482586721,Q5 (Very high),4
070103,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,100,1,73,70233,0.4336147218523151,0.0,0.8610142818702466,Q5 (Very high),0.8726113824396081,Q5 (Very high),1
150101,LIMA,LIMA,LIMA,253,16,2364,563485,0.8243509115217436,0.0,0.8570451039606799,Q5 (Very high),0.8679749329519948,Q5 (Very high),1
150137,SANTA ANITA,LIMA,LIMA,178,4,477,71742,0.3890225919191133,0.0,0.832287986663299,Q5 (Very high),0.8452969329619889,Q5 (Very high),4
150115,LA VICTORIA,LIMA,LIMA,89,4,983,220843,0.8748176439424431,0.0,0.8317490870500492,Q5 (Very high),0.8350573749619934,Q5 (Very high),6
150133,SAN JUAN DE MIRAFLORES,LIMA,LIMA,318,7,376,168258,0.4522972075249911,0.0,0.808847319408809,Q5 (Very high),0.8325950204748229,Q5 (Very high),7
130101,TRUJILLO,TRUJILLO,LA LIBERTAD,266,22,844,237317,1.0919691029614909,0.0,0.8044800176344662,Q5 (Very high),0.8454162401694965,Q5 (Very high),0
150136,SAN MIGUEL,LIMA,LIMA,92,7,89,154656,1.6045799803150385,0.0,0.7945760799427151,Q5 (Very high),0.8438886321583082,Q5 (Very high),1
150116,LINCE,LIMA,LIMA,246,8,0,12709,0.437518318467498,0.0,0.792051840984925,Q5 (Very high),0.9511891124710592,Q5 (Very high),-17
130103,FLORENCIA DE MORA,TRUJILLO,LA LIBERTAD,7,2,26,16659,0.6487246339368465,0.0,0.7875027934531205,Q5 (Very high),0.8363074063198288,Q5 (Very high),0
